Profession,Language,Translated Job Description,Translated Resume
Food Service Workers,sk,"Pripravte a podávajte potraviny v súlade s normami zdravia a bezpečnosti. Prijímajte objednávky zákazníkov, zabezpečte presnosť a včasné dodanie. Udržujte čistotu priestorov na prípravu a servírovanie potravín. Spolupracujte s kuchynským personálom pri spravovaní zásob a optimalizácii kvality potravín.","Lucia Martinez: Vynikajúca šéfkuchárka so 7 rokmi v päťhviezdičkovom bistre. Vytvoril sezónne menu, ktoré zvýšilo hodnotenie reštaurácií o 2 hviezdičky. Viedol tím 15 zamestnancov a dosiahol najnižšiu mieru fluktuácie zamestnancov. Známy inovatívnymi fusion jedlami a záväzkom k kulinárskej dokonalosti."
Food Service Workers,sl,"Pripravite in postrezite živila v skladu z zdravstvenimi in varnostnimi standardi. Sprejemite naročila strank, tako da zagotovite natančnost in pravočasno dostavo. Ohranite čistočo prostorov za pripravo hrane in serviranje. Sodelujte s kuhinjskim osebjem za upravljanje zalog in optimizacijo kakovosti hrane.","Lucia Martinez: Odlična kuharica s 7 leti v Bistru s petimi zvezdicami. Ustvaril je sezonski meni, ki je povišal ocene restavracij za 2 zvezdici. Vodil je ekipo 15 zaposlenih in dosegel najnižjo stopnjo flukacije osebja. Znan po inovativnih fuzijskih jedeh in zavezanosti kulinarični odličnosti."
Food Service Workers,es,"Prepare y sirva los alimentos de acuerdo con las normas de salud y seguridad. Acepte los pedidos de los clientes, garantizando la precisión y la entrega puntual. Mantenga la limpieza de las áreas de preparación y servicio de los alimentos. Colabore con el personal de cocina para gestionar el inventario y optimizar la calidad de los alimentos.","Lucia Martinez: chef consumada con 7 años en Five-Star Bistro. Creó un menú de temporada que aumentó las calificaciones de los restaurantes en 2 estrellas. Dirigió un equipo de 15 empleados, logrando la tasa de rotación de personal más baja. Conocido por sus innovadores platos de fusión y su compromiso con la excelencia culinaria."
Food Service Workers,sw,"Kuandaa na kutumie vitu vya chakula kwa kuzingatia viwango vya afya na usalama. Chukua maagizo ya wateja, kuhakikisha usahihi na utoaji kwa wakati. Kudumisha usafi wa maandalizi ya chakula na maeneo ya huduma. Shirikiana na wafanyikazi wa jikoni kusimamia hesabu na kuboresha ubora wa chakula.","Lucia Martinez: Mchaji aliyetimiza na miaka 7 katika Bistro ya Nyota tano. Iliunda menyu ya msimu ambayo iliongeza viwango vya mgahawa kwa nyota 2. Aliongoza timu ya wafanyikazi 15, na kufikia kiwango cha chini cha mauzo ya wafanyikazi. Inajulikana kwa sahani za ubunifu za kuchanganya na kujitolea kwa ubora wa upishi."
Food Service Workers,sv,"Förbered och servera livsmedel i enlighet med hälso- och säkerhetsstandarder. Ta kundorder, säkerställa noggrannhet och snabb leverans. Behåll renheten i matlagnings- och serveringsområdena. Samarbeta med kökspersonal för att hantera lager och optimera matkvaliteten.",Lucia Martinez: Fulländad kock med 7 år på Five-Star Bistro. Skapade en säsongsmeny som ökade restaurangbetyg med 2 stjärnor. Ledde ett team på 15 anställda och uppnådde den lägsta personalomsättningen. Känd för innovativa fusionsrätter och ett engagemang för kulinarisk excellens.
Food Service Workers,tl,"Maghanda at maghatid ng mga item sa pagkain ayon sa mga pamantayan sa kalusugan at kaligtasan. Kumuha ng mga order ng customer, tinitiyak ang kawastuhan at napapanahong paghahati Panatilihin ang kalinisan ng paghahanda ng pagkain at lugar ng paghahain. Makipagtulungan sa kawani ng kusina upang pamahalaan ang imbentaryo at i-optimize ang kalidad","Lucia Martinez: Nakamit na Chef na may 7 taon sa Five-Star Bistro. Lumikha ng isang pana-panahong menu na nagpapalakas ng mga rating ng restaurant ng 2 bituin. Pinangunahan ang isang koponan ng 15 kawani, na nakamit ang pinakamababang rate ng pag-turn ng kawani. Kilala sa mga makabagong fusion dish at pangako sa kahusayan sa pagluluto."
Food Service Workers,ta,"சுகாதார மற்றும் பாதுகாப்பு தரங்களை பின்பற்றி உணவுப் பொருட்களைத் தயாரித்து பரிமாறவும். வாடிக்கையாளர் ஆர்டர்களை எடுத்துக் கொள்ளுங்கள், துல்லியம் மற்றும் சரியான நேரத்தில் உணவு தயாரிப்பு மற்றும் சேவை பகுதிகளின் தூய்மையை பராமரிக்கவும் சரக்குகளை நிர்வகிக்கவும் உணவு தரத்தை மேம்படுத்தவும் சமையலறை ஊழியர்களுடன்","லூசியா மார்டினெஸ்: ஐந்து நட்சத்திர பிஸ்ட்ரோவில் 7 ஆண்டுகளுடன் முடிந்த செஃப் உணவகம் மதிப்பீடுகளை 2 நட்சத்திரங்களால் அதிகரித்த பருவகால மெனுவை உருவாக்கியது. 15 ஊழியர்களின் குழுவை வழிநடத்தி, மிகக் குறைந்த ஊழியர்களின் வருவாய் விகிதத்தை புதுமையான இணைவு உணவுகள் மற்றும் சமையல் சிறப்பிற்கான அர்ப்பணிப்புக்காக அறியப்படுகிறது."
Food Service Workers,te,"ఆరోగ్య మరియు భద్రతా ప్రమాణాలకు కట్టుబడి ఆహార పదార్థాలను సిద్ధం చేసి సర్వ్ చేయండి. కస్టమర్ ఆర్డర్లు తీసుకోండి, ఖచ్చితత్వం మరియు సకాలంలో డెలివరీని నిర్ధారిస్తుంది. ఆహార తయారీ మరియు వడ్డించే ప్రాంతాల పరిశుభ్రతను నిర్వహించండి. జాబితాను నిర్వహించడానికి మరియు ఆహార నాణ్యతను ఆప్టిమైజ్ చేయడానికి వంటగది సిబ్బందితో సహకరించండి.","లూసియా మార్టినెజ్: ఫైవ్-స్టార్ బిస్ట్రోలో 7 సంవత్సరాలతో సాధించిన చెఫ్. 2 నక్షత్రాల ద్వారా రెస్టారెంట్ రేటింగ్లను పెంచే కాలానుగుణ మెనుని సృష్టించింది. 15 మంది సిబ్బందితో కూడిన బృందానికి నాయకత్వం వహించింది, అత్యల్ప సిబ్బంది టర్నోవర్ రేటును సాధించింది. వినూత్న ఫ్యూజన్ వంటకాలకు మరియు పాక సమర్థతకు నిబద్ధతకు ప్రసిద్ది చెందింది"
Food Service Workers,th,เตรียมและเสิร์ฟอาหารตามมาตรฐานด้านสุขภาพและความปลอดภัยรับคำสั่งซื้อของลูกค้าเพื่อให้แน่ใจว่ามีความแม่นยำและการจัดส่งทันเวลารักษาความสะอาดของพื้นที่เตรียมอาหารและเสิร์ฟทำงานร่วมกับพนักงานครัวเพื่อจัดการสินค้าคงคลังและเพิ่มคุณภาพอาหารให้เหมาะสม,ลูเซีย มาร์ติเนซ: เชฟที่ประสบการณ์ 7 ปีที่ Five Star Bistroสร้างเมนูตามฤดูกาลที่เพิ่มคะแนนร้านอาหาร 2 ดาวเป็นผู้นำทีมงาน 15 คน โดยมีอัตราการหมุนเวียนพนักงานต่ำที่สุดเป็นที่รู้จักในเรื่องอาหารฟิวชั่นที่เป็นนวัตกรรมและความมุ่งมั่นในการทำอาหารเป็นเลิศ
Food Service Workers,tr,"Gıda maddelerini sağlık ve güvenlik standartlarına uygun olarak hazırlayın ve servis edin. Müşteri siparişlerini alın, doğruluk ve zamanında teslimat sağlayın. Yiyecek hazırlama ve servis alanlarının temizliğini sağlayın. Envanteri yönetmek ve gıda kalitesini optimize etmek için mutfak personeli ile işbirliği yapın.",Lucia Martinez: Beş Yıldızlı Bistro'da 7 yıllık Başarılı Şef. Restoran puanlarını 2 yıldız artıran mevsimlik bir menü oluşturdu. En düşük personel devir oranını elde ederek 15 personelden oluşan bir ekibe liderlik etti. Yenilikçi füzyon yemekleri ve mutfak mükemmelliğine olan bağlılığı ile tanınır.
Food Service Workers,uk,"Готуйте та подавайте продукти харчування з дотриманням стандартів охорони здоров'я та безпеки. Приймайте замовлення клієнтів, забезпечуючи точність і своєчасну доставку. Підтримуйте чистоту місць приготування їжі та подачі їжі. Співпрацюйте з персоналом кухні для управління запасами та оптимізації якості їжі.","Люсія Мартінес: Досвідчений шеф-кухар із 7 роками в п'ятизірковому бістро. Створено сезонне меню, яке підвищило рейтинг ресторанів на 2 зірки. Очолив команду з 15 співробітників, досягаючи найнижчого рівня плинності кадрів. Відомий інноваційними стравами фьюжн і прихильністю до кулінарної досконалості."
Food Service Workers,ur,صحت اور حفاظت کے معیارات پر عمل کرتے ہوئے کھانے کی اشیاء تیار کریں اور پیش کریں۔ صارف کے آرڈر لیں، درستگی اور بروقت ترسیل کو یقینی کھانے کی تیاری اور خدمت کے علاقوں کی صفائی کو برقرار رکھیں۔ انوینٹری کا انتظام کرنے اور کھانے کے معیار کو بہتر بنانے کے لئے کچن کے عملے کے,لوسیا مارٹنیز: فائیو اسٹار بسٹرو میں 7 سال کے ساتھ مکمل شیف۔ ایک موسمی مینو تیار کیا جس نے ریستوراں کی درجہ بندی کو 2 ستاروں سے بڑھایا۔ عملے کی کاروبار کی سب سے کم شرح حاصل کرتے ہوئے 15 عملے کی ایک ٹیم کی قیادت کی۔ جدید فیوژن ڈشز اور کھانا پکانے کی عمدگی کے لئے جانا جاتا ہے۔
Food Service Workers,vi,"Chuẩn bị và phục vụ các mặt hàng thực phẩm tuân thủ các tiêu chuẩn sức khỏe và an toàn. Nhận đơn đặt hàng của khách hàng, đảm bảo độ chính xác và giao hàng kịp thời. Duy trì sự sạch sẽ của khu vực chuẩn bị và phục vụ thực phẩm. Phối hợp với nhân viên nhà bếp để quản lý hàng tồn kho và tối ưu hóa chất lượng thực phẩm.","Lucia Martinez: Đầu bếp xuất sắc với 7 năm tại Five-Star Bistro. Tạo một thực đơn theo mùa giúp tăng xếp hạng nhà hàng lên 2 sao. Dẫn dắt đội ngũ 15 nhân viên, đạt tỷ lệ luân chuyển nhân viên thấp nhất. Được biết đến với các món ăn kết hợp sáng tạo và cam kết về ẩm thực xuất sắc."
Food Service Workers,cy,"Paratoi a gweini eitemau bwyd gan gadw at safonau iechyd a diogelwch. Cymerwch archebion cwsmeriaid, gan sicrhau cywirdeb a danfoniad amserol. Cynnal glendid ardaloedd paratoi a gweini bwyd. Cydweithio â staff cegin i reoli rhestr eiddo a gwneud y gorau o ansawdd bwyd.","Lucia Martinez: Cogydd medrus gyda 7 mlynedd yn Bistro Pum Seren. Crëwyd bwydlen dymhorol a oedd yn rhoi hwb i raddau bwytai gan 2 seren. Arweiniodd dîm o 15 o staff, gan gyflawni'r gyfradd trosiant isaf staff. Yn adnabyddus am brydau ymasiad arloesol ac ymrwymiad i ragoriaeth goginio."
Registered Nurses,af,"Verskaf direkte pasiëntsorg, van toediening van medisyne tot die monitering van lewensbelangrike tekens. Werk saam met dokters en ander gesondheidsorgprofessionele persone om pasiëntsorgplanne te ontwikkel en te implementeer. Opvoed pasiënte en hul gesinne oor gesondheidstoestande, voorkomende sorg en welstand na die behandeling. Dokumenteer pasiëntinteraksies en werk mediese rekords op volgens die regulasies.",Brian Lee: Geregistreerde verpleegster met 8 jaar in die kritiese sorgeenheid by HealthFirst-hospitaal. Toesig gehou oor pasiëntsorg vir hoërisiko-pasiënte en verminder komplikasies met 20%. Meer as 30 verpleegsters opgelei in beste sorgpraktyke. Ontvanger van die 'Verpleegster van die Jaar' -toekenning in 2022.
Registered Nurses,sq,"Siguroni kujdes të drejtpërdrejtë për pacientin, nga administrimi i ilaçeve deri te monitorimi i shenjave vitale. Bashkëpunoni me mjekët dhe profesionistët e tjerë të kujdesit shëndetësor për të zhvilluar dhe zbatuar plane kujdes Edukoni pacientët dhe familjet e tyre mbi kushtet shëndetësore, kujdesin parandalues dhe mirëqenien pas trajtimit. Dokumentoni ndërveprimet e pacientit dhe përditësoni të dhënat mjekësore në respektimin","Brian Lee: Infermiere e regjistruar me 8 vjet në Njësinë e Kujdesit Kritik në Spitalin HealthFirst. Mbikëqyronte kujdesin e pacientëve për pacientët me rrezik të lartë, duke zvogëluar komplikimet me 20%. Trajnuan mbi 30 infermiere në praktikat më të mira të kujdesit. Fitues i çmimit “Infermiere e Vitit” në vitin 2022."
Registered Nurses,am,መድሃኒቶችን ከማስተዳደር እስከ ወሳኝ ምልክቶችን መከታተል ድረስ ቀጥታ የታካሚ እንክብካቤ ዕቅዶችን ለማዘጋጀት እና ለመተግበር ከሐኪሞች እና ከሌሎች የ ታካሚዎችን እና ቤተሰቦቻቸውን በጤና ሁኔታዎች፣ በመከላከያ እንክብካቤ እና በሕክምና በኋላ የታካሚዎች መስተጋብሮችን ሰነድ እና ደንቦችን በመከተል የሕክምና,ብራያን ሊ: በሄልትፎርስት ሆስፒታል ውስጥ በወሳኝ እንክብካቤ ክፍል ውስጥ 8 ዓመታት ያለው የተመዘገ ለከፍተኛ አደጋ ያላቸው ታካሚዎች የታካሚዎች እንክብካቤ ቁጥጥር፣ ችግሮችን በ 20% በምርጥ እንክብካቤ ልምዶች ውስጥ ከ 30 በላይ ነርሶች በ 2022 የ'ዓመቱ ነርስ' ሽልማት ተቀባይ።
Registered Nurses,ar,توفير رعاية مباشرة للمرضى، من إعطاء الأدوية إلى مراقبة العلامات الحيوية. التعاون مع الأطباء وغيرهم من المتخصصين في الرعاية الصحية لتطوير وتنفيذ خطط رعاية المرضى. تثقيف المرضى وعائلاتهم حول الظروف الصحية والرعاية الوقائية والعافية بعد العلاج. توثيق تفاعلات المرضى وتحديث السجلات الطبية وفقًا للوائح.,بريان لي: ممرض مسجل لديه 8 سنوات في وحدة الرعاية الحرجة في مستشفى HealthFirst. أشرف على رعاية المرضى المعرضين لمخاطر عالية، مما قلل المضاعفات بنسبة 20٪. دربت أكثر من 30 ممرضة في أفضل ممارسات الرعاية. حاصلة على جائزة «ممرضة العام» في عام 2022.
Registered Nurses,az,"Dərmanların tətbiqindən tutmuş həyati əlamətlərin monitorinqinə qədər birbaşa xəstəyə qulluq göstərin. Xəstəyə qulluq planlarını hazırlamaq və həyata keçirmək üçün həkimlər və digər səhiyyə işçiləri ilə əməkdaşlıq edin Xəstələri və ailələrini sağlamlıq vəziyyəti, profilaktik qayğı və müalicədən sonrakı sağlamlıq haqqında maarifləndirin. Xəstələrin qarşılıqlı əlaqələrini sənədləşdirin və qaydalara uyğun olaraq tibbi qeydləri yeniləyin","Brian Lee: HealthFirst Xəstəxanasında Kritik Baxım Bölməsində 8 il olan qeydiyyatdan keçmiş tibb bacısı. Yüksək riskli xəstələrə xəstə baxımına nəzarət etdi, ağırlaşmaları 20% azaltdı. Ən yaxşı qayğı təcrübələri üzrə 30-dan çox tibb bacısı hazırladı. 2022-ci ildə “İlin tibb bacısı” mükafatının alıcısı."
Registered Nurses,bn,"ওষুধ প্রদান থেকে শুরু করে গুরুত্বপূর্ণ লক্ষণ পর্যবেক্ষণ পর্যন্ত সরাসরি রোগীর যত্ন প্রদান করুন রোগীর যত্ন পরিকল্পনা বিকাশ ও বাস্তবায়নের জন্য ডাক্তার এবং অন্যান্য স্বাস্থ্যসেবা পেশাদ রোগী এবং তাদের পরিবারগুলিকে স্বাস্থ্যের অবস্থা, প্রতিরোধমূলক যত্ন এবং চিকিত্সার পরবর্তী সুস্থতা সম্পর্কে শি রোগীর ইন্টারঅ্যাকশনকে নথিভুক্ত করুন এবং বিধি মেনে চলার জন্য চিকিৎ","ব্রায়ান লি: হেলথফার্স্ট হাসপাতালের ক্রিটিকাল কেয়ার ইউনিটে 8 বছর নিবন্ধিত নার্স। উচ্চ ঝুঁকিপূর্ণ রোগীদের জন্য রোগীর যত্নের তদারকি করেছিল, জটিলতা 20% হ্র সেরা যত্ন অনুশীলনে 30 টিরও বেশি নার্সকে প্রশিক্ষিত 2022 সালে 'নার্স অফ দ্য ইয়ার' পুরস্কার প্রাপক।"
Registered Nurses,bs,"Osigurati direktnu njegu pacijenata, od davanja lijekova do praćenja vitalnih znakova. Surađujte s liječnicima i drugim zdravstvenim radnicima kako biste razvili i implementirali planove njege pacijenata. Educirajte pacijente i njihove porodice o zdravstvenim stanjima, preventivnoj njezi i wellnessu nakon tretmana. Dokumentirajte interakcije pacijenata i ažurirajte medicinsku dokumentaciju u skladu s propisima.","Brian Lee: Registrovana medicinska sestra sa 8 godina u jedinici za kritičnu njegu u bolnici HealthFirst. Nadgledao je brigu o pacijentima za visoko rizične pacijente, smanjujući komplikacije za 20%. Obučilo preko 30 medicinskih sestara za najbolje prakse njege. Dobitnik nagrade “Medicinska sestra godine” 2022."
Registered Nurses,bg,"Осигурете директна грижа за пациента, от прилагане на лекарства до наблюдение на жизнените признаци. Сътрудничи с лекари и други здравни специалисти за разработване и изпълнение на планове за грижи за пациентите. Образовайте пациентите и техните семейства за здравословни състояния, превантивните грижи и уелнес след лечението. Документирайте взаимодействията с пациентите и актуализирайте медицинската документация в съответствие с разпоредбите.","Брайън Лий: Регистрирана медицинска сестра с 8 години в отделението за критични грижи в болница HealthFirst. Наблюдаваше грижите за пациентите с висок риск, намалявайки усложненията с 20%. Обучиха над 30 медицински сестри в най-добрите практики за грижа. Носител на наградата „Медицинска сестра на годината“ през 2022 г."
Registered Nurses,zh,提供直接的患者护理，从给药到监测生命体征。与医生和其他医疗保健专业人员合作，制定和实施患者护理计划。对患者及其家属进行健康状况、预防保健和治疗后健康方面的教育。根据法规记录患者互动并更新病历。,Brian Lee：在HealthFirst医院重症监护室工作了8年的注册护士。监督高危患者的患者护理，将并发症减少20％。对30多名护士进行了最佳护理实践培训。2022 年获得 “年度护士” 奖。
Registered Nurses,hr,"Osigurajte izravnu njegu pacijenata, od davanja lijekova do praćenja vitalnih znakova. Surađujte s liječnicima i drugim zdravstvenim djelatnicima kako biste razvili i implementirali planove skrbi o pacijentima. Educirajte pacijente i njihove obitelji o zdravstvenim uvjetima, preventivnoj njezi i wellnessu nakon liječenja. Dokumentirajte interakcije pacijenata i ažurirajte medicinsku dokumentaciju u skladu s propisima.","Brian Lee: Registrirana medicinska sestra s 8 godina na odjelu za kritičnu njegu u bolnici HealthFirst. Nadgledao je brigu o pacijentima za visoko rizične pacijente, smanjujući komplikacije za 20%. Obučilo je više od 30 medicinskih sestara za najbolju praksu skrbi. Dobitnik nagrade ""Medicinska sestra godine"" 2022."
Registered Nurses,cs,"Poskytujte přímou péči o pacienta, od podávání léků až po sledování vitálních funkcí. Spolupracujte s lékaři a dalšími zdravotnickými pracovníky na vývoji a implementaci plánů péče o pacienty. Vzdělávejte pacienty a jejich rodiny o zdravotních podmínkách, preventivní péči a wellness po léčbě. Dokumentujte interakce pacientů a aktualizujte lékařské záznamy v souladu s předpisy.",Brian Lee: Registrovaná zdravotní sestra s 8 lety na jednotce kritické péče v nemocnici HealthFirst. Dohlížel na péči o pacienty s vysokým rizikem a snížil komplikace o 20%. Vyškolilo více než 30 sester v osvědčených postupech péče. Držitel ceny „Zdravotní sestra roku“ v roce 2022.
Registered Nurses,da,"Giv direkte patientpleje, fra administration af medicin til overvågning af vitale tegn. Samarbejd med læger og andre sundhedspersonale for at udvikle og implementere patientplejeplaner. Uddanne patienter og deres familier om sundhedsmæssige forhold, forebyggende pleje og velvære efter behandling. Dokumenter patientinteraktioner og opdater medicinske journaler i overensstemmelse med reglerne.",Brian Lee: Registreret sygeplejerske med 8 år i kritisk pleje på HealthFirst Hospital. Overvågede patientpleje af højrisikopatienter og reducerede komplikationer med 20%. Uddannet over 30 sygeplejersker i bedste plejepraksis. Modtager af prisen „Årets sygeplejerske“ i 2022.
Registered Nurses,nl,"Zorg voor directe patiëntenzorg, van het toedienen van medicijnen tot het controleren van vitale functies. Werk samen met artsen en andere beroepsbeoefenaren in de gezondheidszorg om zorgplannen voor patiënten te ontwikkelen en uit te voeren. Patiënten en hun families informeren over gezondheidsproblemen, preventieve zorg en welzijn na de behandeling. Documenteer interacties met patiënten en werk medische dossiers bij in overeenstemming met de voorschriften.","Brian Lee: geregistreerde verpleegkundige met 8 jaar ervaring op de afdeling kritieke zorg van het HealthFirst Hospital. Toezag op de patiëntenzorg voor hoogrisicopatiënten, waardoor complicaties met 20% werden verminderd. Meer dan 30 verpleegkundigen opgeleid in de beste zorgpraktijken. Ontvanger van de prijs 'Verpleegster van het Jaar' in 2022."
Registered Nurses,en,"Provide direct patient care, from administering medications to monitoring vital signs. Collaborate with doctors and other healthcare professionals to develop and implement patient care plans. Educate patients and their families on health conditions, preventive care, and post-treatment wellness. Document patient interactions and update medical records in adherence to regulations.","Brian Lee: Registered Nurse with 8 years in the Critical Care Unit at HealthFirst Hospital. Oversaw patient care for high-risk patients, reducing complications by 20%. Trained over 30 nurses in best care practices. Recipient of the 'Nurse of the Year' award in 2022."
Registered Nurses,et,"Pakkuge patsiendi otsest hooldust alates ravimite manustamisest kuni elutähtsate tunnuste jälgimiseni. Patsiendihooldusplaanide väljatöötamiseks ja rakendamiseks tehke koostööd arstide ja teiste tervishoiutöötajatega. Harige patsiente ja nende perekondi terviseseisundite, ennetava ravi ja ravijärgse heaolu kohta. Dokumenteerige patsientide koostoimeid ja ajakohastage meditsiinilisi dokumente, järgides eeskirju.","Brian Lee: Registreeritud õde, kellel on 8 aastat HealthFirst haigla kriitilise ravi osakonnas. Jälgi kõrge riskiga patsientide hooldust, vähendades tüsistusi 20% võrra. Koolitati üle 30 õe parimate hooldustavade alal. Aasta õde auhinna saaja 2022. aastal."
Registered Nurses,fi,"Tarjoa suoraa potilashoitoa lääkkeiden antamisesta elintoimintojen seurantaan. Tee yhteistyötä lääkäreiden ja muiden terveydenhuollon ammattilaisten kanssa potilaan hoitosuunnitelmien kehittämiseksi ja toteuttamiseksi. Kouluta potilaita ja heidän perheitään terveysolosuhteista, ennaltaehkäisevästä hoidosta ja hoidon jälkeisestä hyvinvoinnista. Dokumentoi potilaiden vuorovaikutukset ja päivitä potilastiedot määräysten mukaisesti.","Brian Lee: Rekisteröity sairaanhoitaja, jolla on 8 vuotta kriittisen hoidon yksikössä HealthFirst-sairaalassa. Valvoi korkean riskin potilaiden potilaiden hoitoa vähentäen komplikaatioita 20%. Koulutti yli 30 sairaanhoitajaa parhaisiin hoitokäytäntöihin. Vuoden sairaanhoitaja -palkinnon saaja vuonna 2022."
Registered Nurses,fr,"Fournir des soins directs aux patients, qu'il s'agisse de l'administration de médicaments ou de la surveillance des signes vitaux. Collaborez avec des médecins et d'autres professionnels de santé pour élaborer et mettre en œuvre des plans de soins aux patients. Éduquer les patients et leurs familles sur les problèmes de santé, les soins préventifs et le bien-être après le traitement. Documentez les interactions avec les patients et mettez à jour les dossiers médicaux conformément aux réglementations.","Brian Lee : infirmier autorisé ayant travaillé pendant 8 ans dans l'unité de soins intensifs de l'hôpital HealthFirst. A supervisé les soins aux patients à haut risque, réduisant ainsi les complications de 20 %. A formé plus de 30 infirmières aux meilleures pratiques de soins. Récipiendaire du prix « Infirmière de l'année » en 2022."
Registered Nurses,ka,"უზრუნველყვეთ პაციენტის პირდაპირი მოვლა, მედიკამენტების მიღებიდან დაწყებული თანამშრომლობა ექიმებთან და ჯანდაცვის სხვა პროფესიონალებთან პაციენტის მოვლის გე განათლეთ პაციენტები და მათი ოჯახები ჯანმრთელობის მდგომარეობის, პროფილაქტიკური ზრუნვისა დოკუმენტირეთ პაციენტის ურთიერთქმედება და განაახლეთ სამედიცინო","ბრაიან ლი: რეგისტრირებული ექთანი, 8 წელი, HealthFirst საავადმყოფოს კრიტიკული მოვლის განყოფილებ ზედამხედველობდა პაციენტების მოვლას მაღალი რისკის პაციენტებზე, შემცირდა გართ გაწვრთნილია 30-ზე მეტი ექთანი საუკეთესო მოვლის 2022 წელს „წლის მედდა“ ჯილდოს მიმღები."
Registered Nurses,de,"Sorgen Sie für eine direkte Patientenversorgung, von der Verabreichung von Medikamenten bis zur Überwachung der Vitalfunktionen. Arbeiten Sie mit Ärzten und anderen Angehörigen der Gesundheitsberufe zusammen, um Pläne für die Patientenversorgung zu entwickeln und umzusetzen. Informieren Sie Patienten und ihre Familien über Gesundheitsprobleme, Vorsorge und Wohlbefinden nach der Behandlung. Dokumentieren Sie Patienteninteraktionen und aktualisieren Sie die Patientenakten unter Einhaltung der Vorschriften.","Brian Lee: Krankenschwester mit 8 Jahren Erfahrung in der Intensivstation des HealthFirst Hospital. Beaufsichtigte die Patientenversorgung von Hochrisikopatienten, wodurch die Komplikationen um 20% reduziert wurden. Über 30 Krankenschwestern wurden in den besten Pflegepraktiken geschult. Empfänger der Auszeichnung „Krankenschwester des Jahres“ im Jahr 2022."
Registered Nurses,el,"Παρέχετε άμεση φροντίδα ασθενών, από τη χορήγηση φαρμάκων έως την παρακολούθηση ζωτικών σημείων. Συνεργαστείτε με γιατρούς και άλλους επαγγελματίες υγείας για την ανάπτυξη και εφαρμογή σχεδίων φροντίδας ασθενών. Εκπαιδεύστε τους ασθενείς και τις οικογένειές τους σχετικά με τις συνθήκες υγείας, την προληπτική φροντίδα και την ευεξία μετά τη θεραπεία. Τεκμηριώστε τις αλληλεπιδράσεις ασθενών και ενημερώστε τα ιατρικά αρχεία σύμφωνα με τους κανονισμούς.","Μπράιαν Λι: Εγγεγραμμένος Νοσοκόμος με 8 χρόνια στη Μονάδα Κρίσιμης Φροντίδας στο Νοσοκομείο HealthFirst. Επέβλεψε τη φροντίδα των ασθενών για ασθενείς υψηλού κινδύνου, μειώνοντας τις επιπλοκές κατά 20%. Εκπαιδεύτηκε πάνω από 30 νοσηλευτές σε βέλτιστες πρακτικές φροντίδας. Αποδέκτης του βραβείου «Νοσοκόμα της Χρονιάς» το 2022."
Registered Nurses,gu,"દવાઓનું સંચાલન કરવાથી માંડીને મહત્વપૂર્ણ સંકેતોનું નિરીક્ષણ કરવા માટે સીધી દર્દીની સંભાળ પ્રદાન કરો. દર્દીની સંભાળ યોજનાઓ વિકસાવવા અને અમલમાં મૂકવા માટે ડોકટરો અને અન્ય હેલ્થકેર પ્રોફેશનલ્સ સાથે દર્દીઓ અને તેમના પરિવારોને આરોગ્યની પરિસ્થિતિઓ, નિવારક સંભાળ અને સારવાર પછીની સુખાકારી પર શિક્ષિત કરો. દર્દીની ક્રિયાપ્રતિક્રિયાઓને દસ્તાવેજ કરો અને નિયમોનું પાલન કરવામાં તબીબી રેકોર્ડ્સ અપડેટ","બ્રાયન લી: હેલ્થફર્સ્ટ હોસ્પિટલમાં ક્રિટિકલ કેર યુનિટમાં 8 વર્ષ સાથે રજિસ્ટર્ડ નર્સ. ઉચ્ચ જોખમના દર્દીઓ માટે દર્દીની સંભાળની દેખરેખ રાખી, જટિલતાઓને 20% જેટલી ઘટાડવી. શ્રેષ્ઠ સંભાળ પદ્ધતિઓમાં 30 થી વધુ નર્સોને તાલીમ આપી. 2022 માં 'નર્સ ઓફ ધ યર' એવોર્ડ મેળવનાર."
Registered Nurses,ht,"Bay swen pasyan dirèk, ki soti nan administre medikaman nan siveyans siy vital. Kolabore avèk doktè ak lòt pwofesyonèl swen sante pou devlope ak aplike plan swen pasyan yo. Edike pasyan yo ak fanmi yo sou kondisyon sante, swen prevantif, ak byennèt pòs-tretman. Dokimante entèraksyon pasyan yo ak mete ajou dosye medikal nan aderans nan règleman yo.","Brian Lee: Enfimyè anrejistre ak 8 ane nan Inite a Swen Kritik nan Lopital HealthFirst. Sipèvize swen pasyan pou pasyan ki gen gwo risk, diminye konplikasyon pa 20%. Ki resevwa fòmasyon sou 30 enfimyè nan pi bon pratik swen. K ap resevwa prim 'Enfimyè nan ane a' nan 2022."
Registered Nurses,he,"לספק טיפול ישיר למטופל, החל ממתן תרופות ועד ניטור סימנים חיוניים. שתף פעולה עם רופאים ואנשי מקצוע אחרים בתחום הבריאות כדי לפתח וליישם תוכניות טיפול בחולים. לחנך חולים ומשפחותיהם על מצבים בריאותיים, טיפול מונע ובריאות לאחר הטיפול. תעד אינטראקציות עם מטופלים ועדכן רשומות רפואיות בהתאם לתקנות.","בריאן לי: אחות מוסמכת עם 8 שנים ביחידה לטיפול קריטי בבית החולים HealthFirst. פיקח על הטיפול בחולים בסיכון גבוה, והפחית את הסיבוכים ב -20%. הכשרת למעלה מ-30 אחיות בשיטות הטיפול הטובות ביותר. זוכה פרס 'מטפלת השנה' בשנת 2022."
